tract,county,geo_id,census_name,total_hh,internet_sub_hh,dial_up_hh,broadband_hh,cellular_data_hh,only_cellular_data_hh,type_broadband_hh,only_broadband_hh,satellite_hh,only_satellite_hh,only_other_hh,internet_without_subs_hh,no_internet_hh,GEOID20
000100,001,1400000US17001000100,"Census Tract 1, Adams County, Illinois",2326,1976,16,1960,1636,122,1732,281,79,0,11,90,260,17001000100
000201,001,1400000US17001000201,"Census Tract 2.01, Adams County, Illinois",845,762,0,762,621,112,618,139,41,0,2,33,50,17001000201
000202,001,1400000US17001000202,"Census Tract 2.02, Adams County, Illinois",952,763,7,756,588,62,668,115,33,26,0,101,88,17001000202
000400,001,1400000US17001000400,"Census Tract 4, Adams County, Illinois",1245,966,0,966,816,282,670,150,18,0,0,6,273,17001000400
000500,001,1400000US17001000500,"Census Tract 5, Adams County, Illinois",779,619,0,619,462,133,459,137,55,6,0,35,125,17001000500
000600,001,1400000US17001000600,"Census Tract 6, Adams County, Illinois",1915,1708,0,1708,1340,118,1545,353,74,8,0,20,187,17001000600
000700,001,1400000US17001000700,"Census Tract 7, Adams County, Illinois",746,363,0,363,247,125,225,103,32,0,0,66,317,17001000700
000800,001,1400000US17001000800,"Census Tract 8, Adams County, Illinois",1035,794,8,786,640,138,588,57,13,0,60,27,214,17001000800
000900,001,1400000US17001000900,"Census Tract 9, Adams County, Illinois",1200,886,0,886,708,152,670,134,83,36,0,19,295,17001000900
001001,001,1400000US17001001001,"Census Tract 10.01, Adams County, Illinois",1367,1232,0,1232,1046,194,1033,174,55,0,0,11,124,17001001001
001002,001,1400000US17001001002,"Census Tract 10.02, Adams County, Illinois",1187,1014,0,1014,751,49,901,196,101,54,0,9,164,17001001002
001100,001,1400000US17001001100,"Census Tract 11, Adams County, Illinois",3325,2825,0,2825,2516,322,2370,261,274,19,0,70,430,17001001100
010100,001,1400000US17001010100,"Census Tract 101, Adams County, Illinois",1765,1514,13,1501,1195,150,1280,247,86,13,21,5,246,17001010100
010200,001,1400000US17001010200,"Census Tract 102, Adams County, Illinois",1536,1226,3,1223,943,188,926,195,129,39,17,30,280,17001010200
010301,001,1400000US17001010301,"Census Tract 103.01, Adams County, Illinois",988,828,0,828,757,259,267,45,255,23,0,13,147,17001010301
