lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
A. Herr Smith & E.E. Smith Loda Township Library,"105 East Adams Street Loda, IL 60948-0247",40.5178278,-88.07066549999999,,,,,,,,,,,,
Acorn Public Library District,"15624 South Central Avenue Oak Forest, IL 60452-3204",41.607358,-87.7567282,,,,,,,,,,,,
Addison Public Library,"4 Friendship Plaza Addison, IL 60101-2787",41.9321707,-87.9935689,,,,,,,,,,,,
Albion Public Library,"6 North Fourth Street Albion, IL 62806-1221",38.3772186,-88.0559864,,,,,,,,,,,,
Algonquin Area Public Library District,"2600 Harnish Drive Algonquin, IL 60102",42.1621378,-88.34617,,,,,,,,,,,,
Eastgate Branch Library,"115 Eastgate Drive Algonquin, IL 60102",42.1626475,-88.28348419999999,Algonquin Area Public Library District,"115 Eastgate Drive, Algonquin, Illinois 60102",Yes,Yes,295.0,30.0,258.0,30.0,293.0,30.0,282.0,30.0
Allerton Public Library District,"4000 Green Apple Lane Monticello, IL 61856-8324",40.0288963,-88.60567909999999,Allerton Public Library District,4000 Green Apple Lane,Yes,Yes,50.0,48.0,51.0,40.0,43.0,30.0,48.0,39.333333333333336
Allin Township Library,"116 West Main Street Stanford, IL 61774-0258",40.4344813,-89.2190457,,,,,,,,,,,,
Alpha Park Public Library District,"3527 South Airport Road Bartonville, IL 61607-1799",40.6459057,-89.6809597,Alpha Park Public Library District,"3527 S Airport Rd. Bartonville, IL 616107",Yes,Yes,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Alsip-Merrionette Park Public Library District,"11960 South Pulaski Road Alsip, IL 60803-1197",41.6750205,-87.72010929999999,,,,,,,,,,,,
Altamont Public Library,"121 West Washington Avenue Altamont, IL 62411-1451",39.0605315,-88.7495125,,,,,,,,,,,,
Andalusia Township Library,"503 Second Street West Andalusia, IL 61232-0268",41.4397467,-90.7204318,,,,,,,,,,,,
Annawan-Alba Township Library,"200 North Meadow Lane Annawan, IL 61234-7607",41.4028028,-89.9078729,,,,,,,,,,,,
Anne West Lindsey District Library,"600 North Division Street Carterville, IL 62918-2101",37.7681142,-89.0764059,,,,,,,,,,,,
Antioch Public Library District,"757 Main Street Antioch, IL 60002-1398",42.4823926,-88.0957861,Antioch Public Library District,"757 Main Street Antioch, IL 60002",Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Arcola Public Library District,"407 East Main Street Arcola, IL 61910-1513",39.6843285,-88.3032375,,,,,,,,,,,,
Oreana Public Library,"211 South Route 48 Oreana, IL 62554-0278",39.9394211,-88.8643814,Argenta-Oreana Public Library District,"211 South Route 48, Oreana, IL, 62554",Yes,Yes,19.0,20.0,,,,,19.0,20.0
Argenta Public Library,"100 East Water Street Argenta, IL 62501",39.9811689,-88.82221129999999,,,,,,,,,,,,
Arlington Heights Memorial Library,"500 North Dunton Avenue Arlington Heights, IL 60004-5966",42.0878751,-87.9832409,,,,,,,,,,,,
Arlington Heights Senior Center Branch,"1801 West Central Road Arlington Heights, IL 60005",42.0654781,-88.0050109,,,,,,,,,,,,
John E. Timm Memorial Building,"225 South Walnut Street Arthur, IL 61911-1269",39.7152044,-88.4738041,,,,,,,,,,,,
Ashley Public Library District,"Post Office Box 246 Ashley, IL 62808-0246",38.3294942,-89.19090969999999,,,,,,,,,,,,
Assumption Public Library District,"205 North Oak Street Assumption, IL 62510-1100",39.5206181,-89.0487673,Assumption Public Library District,"205 N. Oak St., Assumption, Illinois 62510",Yes,Yes,91.0,10.0,91.0,10.0,91.0,9.0,91.0,9.666666666666666
Astoria Public Library District,"220 West Broadway Avenue Astoria, IL 61501-9630",40.2267642,-90.360677,,,,,,,,,,,,
Athens Municipal Library,"410 East Hargrave Street Athens, IL 62613-9702",39.9603968,-89.7180023,,,,,,,,,,,,
Atkinson Public Library District,"109 South State Street Atkinson, IL 61235-9788",41.4152018,-90.01610439999999,,,,,,,,,,,,
Atlanta Public Library District,"100 Race Street Atlanta, IL 61723-0568",40.2610855,-89.232891,,,,,,,,,,,,
Atwood-Hammond Public Library District,"123 North Main Street Atwood, IL 61913-0440",39.8004305,-88.4626242,,,,,,,,,,,,
Auburn Public Library District,"338 West Jefferson Street Auburn, IL 62615-1424",39.5920768,-89.7452569,,,,,,,,,,,,
Richard and Gina Santori Public Library of Aurora,"101 South River Street Aurora, IL 60506-6005",41.7570394,-88.3200588,,,,,,,,,,,,
Eola Road Branch Library,"555 South Eola Road Aurora, IL 60504-8992",41.746014,-88.24786759999999,,,,,,,,,,,,
West Branch Library,"233 South Constitution Drive Aurora, IL 60506-4468",41.75852030000001,-88.36816830000001,,,,,,,,,,,,
West Branch Library,"3414 West Main Street Belleville, IL 62226",38.5322413,-90.01533909999999,,,,,,,,,,,,
